Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
0,0.008313539,0.021377672,0.001187648,0.303444181,0.027315914,0.011876485,0.001187648,0.049287411,0.011876485,0.002969121,0.003562945,0.032660333,0.018408551,0.001781473,0.003562945,0.00415677,0.002969121,0.005344418,0.027909739,0.046912114,0.009501188,0.021971496,0.001187648,0.013064133,0.001187648,0.002375297,0.010095012,0.003562945,0.016033254,0.006532067,0.036223278,0.018408551,0,0.014845606,0.002969121,0.018408551,0.024940618,0.002969121,0.002375297,0.001187648,0.013064133,0.036817102,0.008313539,0.002969121,0.064726841,0.039786223,0.002969121,0.03087886,0.000593824
0.005200208,0.002080083,0.020280811,0.002080083,0.32449298,0.024440978,0.010400416,0.002080083,0.043681747,0.015600624,0.002600104,0.002600104,0.035881435,0.008320333,0.004680187,0.00676027,0.009360374,0.002080083,0.010920437,0.042121685,0.023920957,0.009880395,0.010920437,0,0.007280291,0.002600104,0.000520021,0.009360374,0.005200208,0.020800832,0.009360374,0.028601144,0.016120645,0,0.013520541,0.004160166,0.029121165,0.033281331,0.002600104,0.002080083,0.001560062,0.00676027,0.03224129,0.005720229,0.002080083,0.073842954,0.044721789,0.002600104,0.021840874,0.001040042
0.006841505,0.001140251,0.021094641,0.003420753,0.302736602,0.024515393,0.015393387,0.001140251,0.041049031,0.018814139,0.004561003,0.003420753,0.039338655,0.014823261,0.00627138,0.002850627,0.009692132,0.002850627,0.007981756,0.048460661,0.025655644,0.011972634,0.020524515,0.000570125,0.011402509,0.002280502,0.001710376,0.008551881,0.005131129,0.017673888,0.008551881,0.023945268,0.01995439,0.000570125,0.025085519,0.003420753,0.021664766,0.029076397,0.004561003,0.001710376,0,0.009692132,0.033067275,0.003420753,0.002280502,0.058152794,0.038198404,0.003420753,0.02622577,0.001710376
0.005050505,0.001010101,0.017676768,0.004545455,0.303030303,0.022222222,0.009090909,0.003030303,0.055555556,0.01010101,0.003535354,0.003535354,0.031313131,0.018181818,0.004040404,0.004545455,0.002525253,0.002020202,0.007575758,0.023232323,0.046464646,0.00959596,0.015151515,0.000505051,0.013131313,0.002525253,0.003030303,0.00959596,0.008585859,0.013131313,0.008585859,0.025757576,0.017171717,0,0.019191919,0.005555556,0.03030303,0.03030303,0.005555556,0.004040404,0,0.009090909,0.032828283,0.008585859,0.005555556,0.056565657,0.061111111,0.004040404,0.01969697,0
0.006050827,0.002016942,0.019362646,0.002420331,0.277127874,0.024606696,0.012505042,0.001613554,0.053650666,0.018555869,0.001613554,0.003630496,0.031060912,0.012101654,0.004840662,0.003227108,0.007260992,0.002823719,0.013311819,0.033884631,0.03670835,0.014118596,0.012101654,0.000806777,0.010084712,0.000806777,0.002823719,0.009681323,0.008067769,0.022186365,0.006050827,0.032271077,0.025816862,0.000806777,0.020169423,0.00524405,0.024606696,0.025010085,0.004437273,0.003227108,0.001210165,0.010084712,0.035901573,0.007260992,0.004840662,0.069382816,0.049213392,0.003227108,0.018555869,0
0.003529412,0.002352941,0.030588235,0.002941176,0.214117647,0.031176471,0.012352941,0.002352941,0.047647059,0.010588235,0.005294118,0.004117647,0.048235294,0.01,0.004117647,0.008235294,0.008235294,0.001764706,0.009411765,0.047647059,0.040588235,0.017647059,0.021176471,0.001764706,0.009411765,0.002352941,0.000588235,0.011764706,0.004705882,0.017647059,0.009411765,0.051764706,0.025882353,0.001176471,0.026470588,0.005882353,0.022352941,0.021176471,0.002352941,0.004117647,0.001176471,0.006470588,0.037058824,0.005294118,0.007058824,0.068235294,0.04,0.002352941,0.020588235,0.002352941
0.002427184,0.000809061,0.029935275,0.004045307,0.260517799,0.035598706,0.006472492,0.000809061,0.031553398,0.011326861,0.004045307,0.002427184,0.031553398,0.011326861,0.004045307,0.003236246,0.006472492,0.002427184,0.008899676,0.042880259,0.031553398,0.010517799,0.013754045,0,0.011326861,0.002427184,0.001618123,0.012135922,0.004045307,0.020226537,0.010517799,0.042071197,0.023462783,0,0.022653722,0.00566343,0.027508091,0.042071197,0.00566343,0.003236246,0.000809061,0.009708738,0.037216828,0.004045307,0.002427184,0.087378641,0.03802589,0.004045307,0.016990291,0.000809061
0.002629273,0.000876424,0.014899211,0.001752848,0.318141981,0.026292726,0.014022787,0.001752848,0.049079755,0.011393514,0.003505697,0.002629273,0.022787029,0.007887818,0.004382121,0.002629273,0.003505697,0.003505697,0.009640666,0.038562664,0.02716915,0.013146363,0.007011394,0.001752848,0.008764242,0,0,0.008764242,0.01051709,0.025416301,0.007011394,0.078001753,0.012269939,0,0.015775635,0.005258545,0.025416301,0.021034181,0.001752848,0.004382121,0.000876424,0.002629273,0.023663453,0.007011394,0.002629273,0.051709027,0.07537248,0.002629273,0.012269939,0.000876424
0.003994674,0.002663116,0.030625832,0.003994674,0.23701731,0.029294274,0.007989348,0,0.025299601,0.007989348,0.00665779,0.002663116,0.03195739,0.011984021,0.001331558,0.003994674,0.003994674,0.003994674,0.010652463,0.037283622,0.047936085,0.014647137,0.017310253,0.002663116,0.011984021,0.001331558,0.005326232,0.010652463,0.005326232,0.015978695,0.003994674,0.089214381,0.010652463,0.001331558,0.026631158,0.005326232,0.019973369,0.027962716,0.003994674,0.005326232,0.002663116,0.00665779,0.073235686,0,0.007989348,0.075898802,0.023968043,0.001331558,0.00665779,0
0.009302326,0.002325581,0.013953488,0.004651163,0.137209302,0.01627907,0.009302326,0.004651163,0.130232558,0.018604651,0,0.002325581,0.034883721,0.01627907,0,0.006976744,0.01627907,0.006976744,0.004651163,0.048837209,0.03255814,0.004651163,0.013953488,0,0.006976744,0.006976744,0.002325581,0.006976744,0.009302326,0.034883721,0.013953488,0.062790698,0.025581395,0,0.034883721,0.006976744,0.009302326,0.048837209,0.009302326,0.002325581,0,0.006976744,0.062790698,0.002325581,0.006976744,0.06744186,0.013953488,0,0.018604651,0
0.004366812,0.004366812,0.008733624,0.004366812,0.244541485,0.008733624,0.017467249,0.004366812,0.021834061,0.043668122,0.052401747,0.008733624,0.03930131,0.030567686,0.013100437,0,0.013100437,0.004366812,0,0.017467249,0.021834061,0.017467249,0.008733624,0,0.021834061,0,0.004366812,0,0,0.034934498,0.004366812,0.065502183,0.03930131,0.004366812,0.004366812,0.021834061,0.008733624,0.008733624,0.004366812,0.013100437,0,0.017467249,0.087336245,0,0.008733624,0.030567686,0.004366812,0.008733624,0.004366812,0
0.002634352,0,0.002634352,0.001580611,0.238145416,0.009483667,0.011064278,0.00052687,0.033192835,0.004214963,0.002634352,0.009483667,0.031612223,0.021074816,0.009483667,0.010010537,0.01369863,0.005268704,0.005268704,0.022128556,0.037407798,0.046364594,0.002634352,0.001580611,0.010010537,0.005795574,0.005795574,0.003688093,0.01369863,0.027924131,0.009483667,0.035827187,0.01317176,0.002107482,0.033719705,0.003161222,0.037407798,0.017913593,0.008429926,0.001053741,0.002107482,0.017913593,0.031612223,0.014752371,0.005268704,0.045310854,0.0943098,0.007376185,0.028977871,0.001053741
0.007682177,0.002194908,0.021290606,0.003292362,0.30618964,0.02524144,0.007243196,0.001755926,0.049824407,0.022168569,0.00548727,0.004389816,0.03665496,0.009877085,0.003511853,0.003511853,0.003511853,0.004609306,0.007023705,0.04214223,0.029850746,0.016461809,0.010535558,0.001975417,0.006804214,0.002414399,0.001536435,0.00856014,0.005267779,0.015144864,0.010755048,0.031606673,0.020193152,0.001097454,0.024802458,0.003511853,0.029192274,0.026997366,0.003950834,0.001097454,0.001316945,0.007462687,0.019315189,0.008999122,0.003950834,0.063871817,0.049385426,0.003511853,0.020193152,0.001316945
0.00528026,0.002030869,0.026198213,0.003046304,0.284118603,0.0264013,0.01320065,0.003249391,0.043663688,0.011169781,0.005889521,0.003858652,0.032087734,0.012997563,0.006295695,0.004874086,0.00528026,0.006295695,0.007717303,0.040414297,0.034524777,0.014012998,0.013809911,0.002437043,0.011372868,0.00264013,0.003249391,0.010966694,0.006092608,0.022339561,0.00792039,0.035946385,0.017871649,0.000406174,0.018887084,0.003858652,0.028229082,0.029447604,0.004264825,0.003858652,0.001624695,0.00792039,0.04549147,0.008935825,0.00528026,0.056864338,0.033103168,0.002437043,0.017262388,0.001827782
