ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
14,2,73,7,1166,76,30,4,129,31,46,20,124,44,17,13,19,20,20,161,104,119,74,3,28,29,9,46,23,151,20,194,57,1,68,20,144,107,10,16,3,26,180,36,13,210,133,6,63,13
16,10,67,10,1486,81,40,15,182,48,28,20,132,36,18,21,13,21,29,143,197,102,59,6,29,23,7,38,30,170,31,234,78,3,65,19,110,127,22,16,3,36,118,29,17,212,164,15,64,5
18,10,73,26,1427,89,39,11,163,49,49,19,180,46,22,25,28,14,33,130,136,80,71,7,34,26,10,49,25,175,38,150,52,2,87,17,183,127,15,12,4,38,151,51,16,263,219,12,70,9
14,9,104,12,1334,108,47,7,173,47,46,23,166,66,30,22,21,17,26,179,180,82,63,6,33,14,12,35,54,124,38,185,76,2,105,15,106,155,25,19,4,36,161,25,17,247,160,15,90,9
19,8,90,11,1545,126,33,4,129,41,18,21,149,58,17,16,16,12,32,165,128,63,63,8,40,20,7,39,25,78,32,146,69,6,73,17,112,134,21,15,2,29,118,33,16,250,252,19,66,7
24,12,93,14,1789,115,61,25,253,66,59,26,156,62,34,26,28,23,32,189,164,87,67,11,48,25,16,56,34,101,50,156,92,3,126,20,189,131,23,16,5,50,156,52,17,278,254,15,97,13
24,9,118,14,2064,167,84,16,202,60,69,22,213,75,32,33,24,26,35,248,194,92,91,11,64,20,15,68,55,128,58,214,108,5,132,24,191,229,33,27,7,33,159,46,27,352,262,21,92,16
38,8,141,12,1825,155,64,21,244,64,19,23,189,72,26,27,31,22,40,216,197,109,77,11,54,16,8,41,47,140,58,216,103,6,108,19,157,194,29,22,5,53,205,44,28,358,199,17,107,6
35,6,141,9,1663,139,84,17,239,76,59,15,184,59,17,13,22,21,40,200,171,42,87,6,39,14,14,32,28,143,44,211,101,2,96,13,130,207,30,33,5,31,159,36,32,315,198,27,99,6
25,9,109,13,2218,158,83,24,245,75,39,23,265,89,42,43,53,31,41,180,216,150,86,11,63,31,22,62,40,168,75,211,106,4,173,18,200,287,30,25,12,64,207,39,26,233,365,27,124,13
