Vehicle Model,Toyota Camry,Honda Civic,Ford F-150,Nissan Leaf,Toyota Prius,Chevrolet Volt
MSRP ($),22235,18165,24070,21300,32000,34185
Curb Weight (lb),3190,2740,4685,3291,3165,3786
Fuel Efficiency (mi/gal),28,32,20,NA,50,37
Technology,ICV,ICV,ICV,BEV,PHEV-10,PHEV-40
Horsepower,178,140,302,107,98,149
